Driver,LapNumber,Compound,TyreLife,LapTime,PitInTime,PitOutTime,Position,Team,LapTimeSec,Pitted,Year,RaceName,TotalLaps,RollingAvgLapTime,LapTimeDelta,DegRate,DegAccel,TyreHealthPct,PaceLoss,StintLength,LapsRemaining,RaceProgress,CompoundCode,InPitWindow,PitLabel
ALB,21,SOFT,10,0 days 00:01:39.591000,,,10.0,Williams,99.591,0,2023,Bahrain,57.0,99.38733333333333,0.2919999999999874,0.2919999999999874,0.26499999999998636,50.0,2.4469999999999885,10,36.0,0.3684210526315789,0,1,STAY_OUT
ALB,22,SOFT,11,0 days 00:01:39.588000,,,10.0,Williams,99.588,0,2023,Bahrain,57.0,99.49266666666666,-0.0030000000000001137,-0.0030000000000001137,-0.2949999999999875,44.99999999999999,2.4439999999999884,11,35.0,0.38596491228070173,0,1,STAY_OUT
ALB,23,SOFT,12,0 days 00:01:39.802000,,,10.0,Williams,99.802,0,2023,Bahrain,57.0,99.66033333333333,0.21400000000001285,0.21400000000001285,0.21700000000001296,40.0,2.6580000000000013,12,34.0,0.40350877192982454,0,1,PIT_SOON
ALB,24,SOFT,13,0 days 00:01:39.890000,,,10.0,Williams,99.89,0,2023,Bahrain,57.0,99.75999999999999,0.08799999999999386,0.08799999999999386,-0.12600000000001899,35.0,2.745999999999995,13,33.0,0.42105263157894735,0,1,PIT_SOON
ALB,25,SOFT,14,0 days 00:01:39.832000,,,10.0,Williams,99.832,0,2023,Bahrain,57.0,99.84133333333334,-0.058000000000006935,-0.058000000000006935,-0.1460000000000008,30.0,2.687999999999988,14,32.0,0.43859649122807015,0,1,PIT_SOON
ALB,26,SOFT,15,0 days 00:01:42.610000,0 days 01:46:23.948000,,10.0,Williams,102.61,1,2023,Bahrain,57.0,100.77733333333333,2.778000000000006,2.778000000000006,2.8360000000000127,25.0,5.465999999999994,15,31.0,0.45614035087719296,0,0,PIT_NOW
ALB,27,HARD,1,0 days 00:01:59.870000,,0 days 01:46:48.838000,14.0,Williams,119.87,0,2023,Bahrain,57.0,107.43733333333334,17.260000000000005,0.0,-2.778000000000006,98.0,22.367000000000004,1,30.0,0.47368421052631576,2,0,STAY_OUT
ALB,28,HARD,2,0 days 00:01:37.503000,,,13.0,Williams,97.503,0,2023,Bahrain,57.0,106.661,-22.367000000000004,-22.367000000000004,-22.367000000000004,96.0,0.0,2,29.0,0.49122807017543857,2,0,STAY_OUT
ALB,29,HARD,3,0 days 00:01:38.127000,,,12.0,Williams,98.127,0,2023,Bahrain,57.0,105.16666666666667,0.6239999999999952,0.6239999999999952,22.991,94.0,0.6239999999999952,3,28.0,0.5087719298245614,2,0,STAY_OUT
ALB,30,HARD,4,0 days 00:01:37.931000,,,12.0,Williams,97.931,0,2023,Bahrain,57.0,97.85366666666665,-0.19599999999999795,-0.19599999999999795,-0.8199999999999932,92.0,0.42799999999999727,4,27.0,0.5263157894736842,2,0,STAY_OUT
ALB,31,HARD,5,0 days 00:01:38.104000,,,11.0,Williams,98.104,0,2023,Bahrain,57.0,98.05400000000002,0.17300000000000182,0.17300000000000182,0.3689999999999998,90.0,0.6009999999999991,5,26.0,0.543859649122807,2,0,STAY_OUT
ALB,32,HARD,6,0 days 00:01:37.919000,,,11.0,Williams,97.919,0,2023,Bahrain,57.0,97.98466666666667,-0.18500000000000227,-0.18500000000000227,-0.3580000000000041,88.0,0.4159999999999968,6,25.0,0.5614035087719298,2,1,STAY_OUT
ALB,33,HARD,7,0 days 00:01:38.104000,,,10.0,Williams,98.104,0,2023,Bahrain,57.0,98.04233333333333,0.18500000000000227,0.18500000000000227,0.37000000000000455,86.0,0.6009999999999991,7,24.0,0.5789473684210527,2,1,STAY_OUT
ALB,34,HARD,8,0 days 00:01:37.961000,,,10.0,Williams,97.961,0,2023,Bahrain,57.0,97.99466666666666,-0.14300000000000068,-0.14300000000000068,-0.32800000000000296,84.0,0.4579999999999984,8,23.0,0.5964912280701754,2,1,STAY_OUT
ALB,35,HARD,9,0 days 00:01:37.984000,,,10.0,Williams,97.984,0,2023,Bahrain,57.0,98.01633333333332,0.022999999999996135,0.022999999999996135,0.16599999999999682,82.0,0.48099999999999454,9,22.0,0.6140350877192983,2,1,STAY_OUT
ALB,36,HARD,10,0 days 00:01:38.176000,,,10.0,Williams,98.176,0,2023,Bahrain,57.0,98.04033333333332,0.19200000000000728,0.19200000000000728,0.16900000000001114,80.0,0.6730000000000018,10,21.0,0.631578947368421,2,1,STAY_OUT
ALB,37,HARD,11,0 days 00:01:38.038000,,,10.0,Williams,98.038,0,2023,Bahrain,57.0,98.06599999999999,-0.13800000000000523,-0.13800000000000523,-0.3300000000000125,78.0,0.5349999999999966,11,20.0,0.6491228070175439,2,1,PIT_SOON
ALB,38,HARD,12,0 days 00:01:38.330000,,,10.0,Williams,98.33,0,2023,Bahrain,57.0,98.18133333333333,0.2920000000000016,0.2920000000000016,0.4300000000000068,76.0,0.8269999999999982,12,19.0,0.6666666666666666,2,1,PIT_SOON
ALB,39,HARD,13,0 days 00:01:38.346000,,,10.0,Williams,98.346,0,2023,Bahrain,57.0,98.238,0.016000000000005343,0.016000000000005343,-0.27599999999999625,74.0,0.8430000000000035,13,18.0,0.6842105263157895,2,1,PIT_SOON
ALB,40,HARD,14,0 days 00:01:50.177000,0 days 02:09:50.485000,,9.0,Williams,110.177,1,2023,Bahrain,57.0,102.28433333333334,11.831000000000003,11.831000000000003,11.814999999999998,72.0,12.674000000000007,14,17.0,0.7017543859649122,2,1,PIT_NOW
ALB,41,SOFT,1,0 days 00:02:08.659000,,0 days 02:10:14.985000,9.0,Williams,128.659,0,2023,Bahrain,57.0,112.394,18.481999999999985,26.048999999999992,14.21799999999999,95.0,31.514999999999986,1,16.0,0.7192982456140351,0,1,STAY_OUT
ALB,42,SOFT,2,0 days 00:01:37.211000,,,10.0,Williams,97.211,0,2023,Bahrain,57.0,112.01566666666668,-31.447999999999993,-31.447999999999993,-57.496999999999986,90.0,0.06699999999999307,2,15.0,0.7368421052631579,0,1,STAY_OUT
ALB,43,SOFT,3,0 days 00:01:37.144000,,,10.0,Williams,97.144,0,2023,Bahrain,57.0,107.67133333333334,-0.06699999999999307,-0.06699999999999307,31.381,85.0,0.0,3,14.0,0.7543859649122807,0,0,STAY_OUT
ALB,44,SOFT,4,0 days 00:01:37.327000,,,10.0,Williams,97.327,0,2023,Bahrain,57.0,97.22733333333333,0.18299999999999272,0.18299999999999272,0.2499999999999858,80.0,0.18299999999999272,4,13.0,0.7719298245614035,0,0,STAY_OUT
ALB,45,SOFT,5,0 days 00:01:37.503000,,,10.0,Williams,97.503,0,2023,Bahrain,57.0,97.32466666666666,0.17600000000000193,0.17600000000000193,-0.006999999999990791,75.0,0.35899999999999466,5,12.0,0.7894736842105263,0,0,STAY_OUT
ALB,46,SOFT,6,0 days 00:01:37.577000,,,10.0,Williams,97.577,0,2023,Bahrain,57.0,97.469,0.07399999999999807,0.07399999999999807,-0.10200000000000387,70.0,0.4329999999999927,6,11.0,0.8070175438596491,0,0,STAY_OUT
ALB,47,SOFT,7,0 days 00:01:37.545000,,,10.0,Williams,97.545,0,2023,Bahrain,57.0,97.54166666666667,-0.031999999999996476,-0.031999999999996476,-0.10599999999999454,65.0,0.40099999999999625,7,10.0,0.8245614035087719,0,0,STAY_OUT
ALB,48,SOFT,8,0 days 00:01:37.684000,,,10.0,Williams,97.684,0,2023,Bahrain,57.0,97.60199999999999,0.1389999999999958,0.1389999999999958,0.17099999999999227,60.0,0.539999999999992,8,9.0,0.8421052631578947,0,0,STAY_OUT
ALB,49,SOFT,9,0 days 00:01:37.609000,,,10.0,Williams,97.609,0,2023,Bahrain,57.0,97.61266666666666,-0.07500000000000284,-0.07500000000000284,-0.21399999999999864,55.0,0.4649999999999892,9,8.0,0.8596491228070176,0,0,STAY_OUT
ALB,50,SOFT,10,0 days 00:01:37.695000,,,10.0,Williams,97.695,0,2023,Bahrain,57.0,97.66266666666665,0.08599999999999852,0.08599999999999852,0.16100000000000136,50.0,0.5509999999999877,10,7.0,0.8771929824561403,0,0,STAY_OUT
ALB,51,SOFT,11,0 days 00:01:37.727000,,,10.0,Williams,97.727,0,2023,Bahrain,57.0,97.677,0.03200000000001069,0.03200000000001069,-0.053999999999987836,44.99999999999999,0.5829999999999984,11,6.0,0.8947368421052632,0,0,STAY_OUT
ALB,52,SOFT,12,0 days 00:01:37.861000,,,10.0,Williams,97.861,0,2023,Bahrain,57.0,97.76100000000001,0.13400000000000034,0.13400000000000034,0.10199999999998965,40.0,0.7169999999999987,12,5.0,0.9122807017543859,0,0,STAY_OUT
ALB,53,SOFT,13,0 days 00:01:37.778000,,,10.0,Williams,97.778,0,2023,Bahrain,57.0,97.78866666666666,-0.08299999999999841,-0.08299999999999841,-0.21699999999999875,35.0,0.6340000000000003,13,4.0,0.9298245614035088,0,0,STAY_OUT
ALB,54,SOFT,14,0 days 00:01:37.780000,,,10.0,Williams,97.78,0,2023,Bahrain,57.0,97.80633333333333,0.001999999999995339,0.001999999999995339,0.08499999999999375,30.0,0.6359999999999957,14,3.0,0.9473684210526315,0,0,STAY_OUT
ALB,55,SOFT,15,0 days 00:01:37.803000,,,10.0,Williams,97.803,0,2023,Bahrain,57.0,97.78699999999999,0.022999999999996135,0.022999999999996135,0.021000000000000796,25.0,0.6589999999999918,15,2.0,0.9649122807017544,0,0,STAY_OUT
ALB,56,SOFT,16,0 days 00:01:38.159000,,,10.0,Williams,98.159,0,2023,Bahrain,57.0,97.914,0.35600000000000875,0.35600000000000875,0.3330000000000126,20.0,1.0150000000000006,16,1.0,0.9824561403508771,0,0,STAY_OUT
ALB,57,SOFT,17,0 days 00:01:38.137000,,,10.0,Williams,98.137,0,2023,Bahrain,57.0,98.033,-0.02200000000000557,-0.02200000000000557,-0.3780000000000143,15.0,0.992999999999995,17,0.0,1.0,0,0,STAY_OUT
ALO,1,SOFT,4,0 days 00:01:43.608000,,,7.0,Aston Martin,103.608,0,2023,Bahrain,57.0,103.608,0.0,0.0,0.0,80.0,4.50800000000001,1,56.0,0.017543859649122806,0,0,STAY_OUT
ALO,2,SOFT,5,0 days 00:01:39.792000,,,7.0,Aston Martin,99.792,0,2023,Bahrain,57.0,101.7,-3.8160000000000025,-3.8160000000000025,-3.8160000000000025,75.0,0.6920000000000073,2,55.0,0.03508771929824561,0,0,STAY_OUT
ALO,3,SOFT,6,0 days 00:01:39.100000,,,7.0,Aston Martin,99.1,0,2023,Bahrain,57.0,100.83333333333333,-0.6920000000000073,-0.6920000000000073,3.1239999999999952,70.0,0.0,3,54.0,0.05263157894736842,0,0,STAY_OUT
ALO,4,SOFT,7,0 days 00:01:39.548000,,,7.0,Aston Martin,99.548,0,2023,Bahrain,57.0,99.48,0.4480000000000075,0.4480000000000075,1.1400000000000148,65.0,0.4480000000000075,4,53.0,0.07017543859649122,0,0,STAY_OUT
ALO,5,SOFT,8,0 days 00:01:39.662000,,,7.0,Aston Martin,99.662,0,2023,Bahrain,57.0,99.43666666666667,0.11400000000000432,0.11400000000000432,-0.3340000000000032,60.0,0.5620000000000118,5,52.0,0.08771929824561403,0,0,STAY_OUT
ALO,6,SOFT,9,0 days 00:01:39.674000,,,7.0,Aston Martin,99.674,0,2023,Bahrain,57.0,99.628,0.012000000000000455,0.012000000000000455,-0.10200000000000387,55.0,0.5740000000000123,6,51.0,0.10526315789473684,0,0,STAY_OUT
ALO,7,SOFT,10,0 days 00:01:39.729000,,,7.0,Aston Martin,99.729,0,2023,Bahrain,57.0,99.68833333333333,0.05499999999999261,0.05499999999999261,0.042999999999992156,50.0,0.6290000000000049,7,50.0,0.12280701754385964,0,0,STAY_OUT
ALO,8,SOFT,11,0 days 00:01:39.959000,,,7.0,Aston Martin,99.959,0,2023,Bahrain,57.0,99.78733333333334,0.23000000000000398,0.23000000000000398,0.17500000000001137,44.99999999999999,0.8590000000000089,8,49.0,0.14035087719298245,0,0,STAY_OUT
ALO,9,SOFT,12,0 days 00:01:40.275000,,,7.0,Aston Martin,100.275,0,2023,Bahrain,57.0,99.98766666666667,0.3160000000000025,0.3160000000000025,0.08599999999999852,40.0,1.1750000000000114,9,48.0,0.15789473684210525,0,0,STAY_OUT
ALO,10,SOFT,13,0 days 00:01:40.203000,,,7.0,Aston Martin,100.203,0,2023,Bahrain,57.0,100.14566666666667,-0.07200000000000273,-0.07200000000000273,-0.38800000000000523,35.0,1.1030000000000086,10,47.0,0.17543859649122806,0,0,STAY_OUT
ALO,11,SOFT,14,0 days 00:01:41.147000,,,7.0,Aston Martin,101.147,0,2023,Bahrain,57.0,100.54166666666667,0.9440000000000026,0.9440000000000026,1.0160000000000053,30.0,2.0470000000000113,11,46.0,0.19298245614035087,0,0,PIT_SOON
ALO,12,SOFT,15,0 days 00:01:40.934000,,,6.0,Aston Martin,100.934,0,2023,Bahrain,57.0,100.76133333333333,-0.21300000000000807,-0.21300000000000807,-1.1570000000000107,25.0,1.8340000000000032,12,45.0,0.21052631578947367,0,0,PIT_SOON
ALO,13,SOFT,16,0 days 00:01:40.341000,,,5.0,Aston Martin,100.341,0,2023,Bahrain,57.0,100.80733333333335,-0.5930000000000035,-0.5930000000000035,-0.37999999999999545,20.0,1.2409999999999997,13,44.0,0.22807017543859648,0,0,PIT_SOON
ALO,14,SOFT,17,0 days 00:01:42.212000,0 days 01:26:01.361000,,4.0,Aston Martin,102.212,1,2023,Bahrain,57.0,101.16233333333332,1.8710000000000093,1.8710000000000093,2.464000000000013,15.0,3.112000000000009,14,43.0,0.24561403508771928,0,0,PIT_NOW
ALO,15,HARD,1,0 days 00:01:59.692000,,0 days 01:26:27.142000,8.0,Aston Martin,119.692,0,2023,Bahrain,57.0,107.415,17.47999999999999,0.0,-1.8710000000000093,98.0,23.535999999999987,1,42.0,0.2631578947368421,2,1,STAY_OUT
ALO,16,HARD,2,0 days 00:01:37.542000,,,7.0,Aston Martin,97.542,0,2023,Bahrain,57.0,106.48199999999999,-22.14999999999999,-22.14999999999999,-22.14999999999999,96.0,1.3859999999999957,2,41.0,0.2807017543859649,2,1,STAY_OUT
ALO,17,HARD,3,0 days 00:01:38.139000,,,6.0,Aston Martin,98.139,0,2023,Bahrain,57.0,105.12433333333333,0.5969999999999942,0.5969999999999942,22.746999999999986,94.0,1.9829999999999899,3,40.0,0.2982456140350877,2,1,STAY_OUT
ALO,18,HARD,4,0 days 00:01:38.124000,,,6.0,Aston Martin,98.124,0,2023,Bahrain,57.0,97.93499999999999,-0.015000000000000568,-0.015000000000000568,-0.6119999999999948,92.0,1.9679999999999893,4,39.0,0.3157894736842105,2,1,STAY_OUT
ALO,19,HARD,5,0 days 00:01:38.361000,,,6.0,Aston Martin,98.361,0,2023,Bahrain,57.0,98.20800000000001,0.23700000000000898,0.23700000000000898,0.25200000000000955,90.0,2.2049999999999983,5,38.0,0.3333333333333333,2,1,STAY_OUT
